Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (ﾀ),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
02/01/2013,"MOTE PARK, ROSCOMMON",,Roscommon,"ﾀ215,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Property Described in Folio 788F, Co Kilkenny",,Kilkenny,"ﾀ165,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Sandhill Road, Ballybunion",,Kerry,"ﾀ115,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Sandybank, O'Briensbridge",,Clare,"ﾀ125,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Sheares Villa, Glasheen Road",,Cork,"ﾀ475,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2013,"Windy Heights, Rochestown Road, Rochestown",,Cork,"ﾀ205,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"1 Balckwater Heights, Navan",,Meath,"ﾀ69,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"1 CIRCULAR ROAD, KNOCKNAGANNY, SLIGO",,Sligo,"ﾀ105,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"11 Ardmanagh Road, Schull",,Cork,"ﾀ143,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"138 Lee Drive, Rathass, Tralee",,Kerry,"ﾀ125,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"13C Abbeylands, Clane",,Kildare,"ﾀ97,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"14 Castleross Retirment Village, Carrickmacross",,Monaghan,"ﾀ96,916.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2013,"15 ARD MC COOL, STRANORLAR",,Donegal,"ﾀ40,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"15 Castleross Retirement Village, Carrickmacross",,Monaghan,"ﾀ96,916.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2013,"16. Castleross Retirement Village, Carrickmacross",,Monaghan,"ﾀ96,916.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2013,"17 Castleross Retirement Village, Carrickmacross",,Monaghan,"ﾀ96,916.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2013,"18 Castleross Retirement Village, Carrickmacross",,Monaghan,"ﾀ96,916.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2013,"18 Rockbarton Road, Salthill, Galway",,Galway,"ﾀ145,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"20 Castleross Retirement Village, Carrickmacross",,Monaghan,"ﾀ96,916.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2013,"26 Tullaskeagh Square, Roscrea, Co Tipperary",,Tipperary,"ﾀ60,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"27 Castleross Retirement Village, Carrickmacross",,Monaghan,"ﾀ96,916.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2013,"28 Castleross Retirement Village, Carrickmacross",,Monaghan,"ﾀ96,916.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2013,"28 Hillview, Mullingar",,Westmeath,"ﾀ180,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"29A, ST KEVINS VILLAS, SALLYNOGGIN",,Dublin,"ﾀ101,540.79",Yes,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"30 Castleross Retirement Village, Carrickmacross",,Monaghan,"ﾀ96,916.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2013,"31 Castleross Retirement Village, Carrickmacross",,Monaghan,"ﾀ96,916.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2013,"35A Talbot Court, Athboy Road, Trim",,Meath,"ﾀ200,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"41 maigh dara, quin",,Clare,"ﾀ150,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"46 Seville Place, Dublin 1",,Dublin,"ﾀ96,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"46 Woodgrove, Portlaoise",,Laois,"ﾀ69,800.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"5 Marian Park, Dingle",,Kerry,"ﾀ100,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"54 Chestnut Mews, Classes Lake, Ovens",,Cork,"ﾀ374,760.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"58  Griffith Avenue, Ballinacurra Weston, Limerick",,Limerick,"ﾀ18,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"58  the Grove, Millbrook Lawns, Tallaght",,Dublin,"ﾀ150,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"6 Millers Court, Old Quarter, Ballincollig",,Cork,"ﾀ114,537.43",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2013,"7 Byfield Court, Mayfield, Cork",,Cork,"ﾀ57,091.00",Yes,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"7 Gleann Cian, Lyre, Banteer",,Cork,"ﾀ95,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"75 Foxrock Avenue, Foxrock",Dublin 18,Dublin,"ﾀ420,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"76 THE COMMONS, DULEEK",,Meath,"ﾀ134,910.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"8 Dan Desmond Terrace, Carrigaline",,Cork,"ﾀ75,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"81 Clonard, Corbally, Westbury",,Clare,"ﾀ122,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"82 St Peters Crescent, Walkinstown",Dublin 12,Dublin,"ﾀ194,800.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"APARTMENT 57, FORTFIELD SQUARE, TERENURE",Dublin 6w,Dublin,"ﾀ290,748.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2013,"Apt 68 Achill Square, Snugborugh Road  Waterville, Blanchardstown",Dublin 15,Dublin,"ﾀ129,515.41",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/2013,"Avonmore, Hettyfield, Douglas",,Cork,"ﾀ425,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"Boderan, Campile",,Wexford,"ﾀ47,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"Castlelawn, Ballyheigue, Tralee",,Kerry,"ﾀ185,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"Fyrretrae House, Killegney, Clonroche",,Wexford,"ﾀ167,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"GAIRDIN NA NULL, HAZELWOOD, MALLOW",,Cork,"ﾀ305,727.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
03/01/2013,"Hollywell, Coolteigue",,Roscommon,"ﾀ50,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"Kilpipe, Aughrim",,Wicklow,"ﾀ195,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"Listical Lower, Carrigans",,Donegal,"ﾀ45,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"Moneylahan, Ballintrillick",,Sligo,"ﾀ100,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
03/01/2013,"No 4 The Ailesbury, Donnybrook Castle, Stillorgan Road  Dublin 4",,Dublin,"ﾀ207,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2013,"Raheen, Lisnagry, County Limerick",,Limerick,"ﾀ67,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"'Dunromyn', 15 Lake Lawn, Well Road  Douglas",,Cork,"ﾀ172,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"1 The Crescent, College Manor, Cobh",,Cork,"ﾀ129,629.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
04/01/2013,"1 Woodland View, Old Youghal Road",,Cork,"ﾀ82,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"12 The Fairways, Dromod",,Leitrim,"ﾀ79,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
04/01/2013,"120 Tur Uisce, Doughiska, Galway",,Galway,"ﾀ120,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"123 Commons Road, Cork",,Cork,"ﾀ50,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"13 Mornington Court, Mornington",,Meath,"ﾀ155,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"14  Hollyvale, Forrest Hill, Carrigaline",,Cork,"ﾀ162,996.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2013,"14 Castletimon Gardens, Kilmore West",Dublin 5,Dublin,"ﾀ58,300.00",Yes,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"14 Springwell Gardens, Ballyard, Tralee",,Kerry,"ﾀ205,296.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
04/01/2013,"16 Glenville Way, Castleknock, Dublin 15",Dublin 15,Dublin,"ﾀ278,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"16 Kenure Court, Powerscourt",,Waterford,"ﾀ115,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"18 BAYSIDE BOULEVARD NORTH, SUTTON",,Dublin,"ﾀ182,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"18 The Castlelands, Rathfarnham, Dublin 14",,Dublin,"ﾀ229,750.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"19 Cluan Ard, Lis na Dara, Carrick Road",,Louth,"ﾀ145,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"2 5 6 7 8 Redbridge House, Sullivans Quay",,Cork,"ﾀ248,900.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"2 The Lodge, Ashgrove, Cartrontroy Td  Athlone",,Westmeath,"ﾀ200,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2013,"20 The Gables, Old waterford Road, Clonmel",,Tipperary,"ﾀ65,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"22 Ballywaltrim Cottages, Bray",,Wexford,"ﾀ170,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"22 DEERPARK VIEW, BALLYMACARBRY, CLONMEL",,Tipperary,"ﾀ110,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2013,"23  Creevaghbui, Mullingar Road, Ballymahon",,Longford,"ﾀ44,052.86",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"23 MARWOOD AVENUE, MARWOOD ESTATE, GLANMIRE",,Cork,"ﾀ180,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"23 Mount Drummond Square, Harolds Cross, Dublin 6W",,Dublin,"ﾀ150,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"23 Slade Castle Walk, Saggart",,Dublin,"ﾀ146,255.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2013,"25 Orwell Woods, Darty, Dublin 6",,Dublin,"ﾀ360,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"26 Cois Rioga, Caherconlish, Co. Limerick",,Limerick,"ﾀ130,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"27 BELLVIEW, CHURCH HILL MEADOWS, RAHEEN",,Limerick,"ﾀ185,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"28 Burrin Manor, Tullow Road",,Carlow,"ﾀ55,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"3 Millbrook, Gorey",,Wexford,"ﾀ171,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"32 Maple Lane, Castlelake, Carrigtwohill",,Cork,"ﾀ145,373.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2013,"32 Verschoyle Park, Saggart Abbey, Citywest",,Dublin,"ﾀ249,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"35 Coilte Mhuirlinne, Ballybane, Galway",,Galway,"ﾀ103,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"35 Mill  Lodge, Irishtown",,Mayo,"ﾀ118,750.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2013,"38 Castlepark Gardens Residence, Castlepark Road, Sandycove",,Dublin,"ﾀ242,291.74",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2013,"4 Soldiers View, Old Court Road, Bray",,Wicklow,"ﾀ197,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"40 Woodhaven, Clondalkin, Dublin 22",,Dublin,"ﾀ128,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"44 Belvedere Hills, Mullingar",,Westmeath,"ﾀ85,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"5 Leinster Place, Rathmines",Dublin 6,Dublin,"ﾀ370,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"536  Bridge Street, Skibbereen",,Cork,"ﾀ92,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"55 Corofin House, Clare Village, Clarehall",,Dublin,"ﾀ80,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"59 Castleoaks, Bandon",,Cork,"ﾀ122,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"6 The Paddocks Crescent, Adamstown",,Dublin,"ﾀ176,211.45",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2013,"60 O'Connell Gardens, Sandymount, Dublin 4",,Dublin,"ﾀ265,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"60 Slievemore Road, Drimnagh",Dublin 12,Dublin,"ﾀ74,035.00",Yes,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"63 Mount Eagle View, Leopardstown Heights",Dublin 18,Dublin,"ﾀ408,350.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"69  Newtown Lawns, Mullingar",,Westmeath,"ﾀ100,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"70 Hanstead Crescent, Lucan",,Dublin,"ﾀ157,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"74 Russell Court, Father Russell Road, Limerick",,Limerick,"ﾀ122,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"8 Ash Park Heath, Lucan, Cco. Dublin",,Dublin,"ﾀ280,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"9 Moy Glas View, Lucan, County Dublin",,Dublin,"ﾀ200,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"9 Newlyn Vale, Rochestown Road",,Cork,"ﾀ300,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"9 Redbridge House, Redbridge Mews, Sullivans Quay",,Cork,"ﾀ30,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"98 St. Mary's Park, Crossmolina",,Mayo,"ﾀ60,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Apartment 15 Chapelhill, Chapelizod, Dublin 20",,Dublin,"ﾀ200,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2013,"Apartment 17 The Lighthouse, Robswall, Malahide",,Dublin,"ﾀ220,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Apartment 1, Springfield Court, Victoria Terrace  Ennis",,Clare,"ﾀ57,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Apartment 3  House 12, Linden Square, Blackrock",,Dublin,"ﾀ242,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Apartment 4C, Block 1  Inchydoney Island, Inchydoney",,Cork,"ﾀ170,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Apt 37 Desart Court, Ormonde Street, Kilkenny",,Kilkenny,"ﾀ97,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Ardmahon, Tivoli Estate Tivoli, Cork",,Cork,"ﾀ366,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"BALDWINSTOWN, GARRISTOWN, CO DUBLIN",,Dublin,"ﾀ137,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Ballywhoriskey, Fanad",,Donegal,"ﾀ29,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Brook Cottage, Oldtown, Co. Dublin",,Dublin,"ﾀ190,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Brusk, Athenry, Co. Galway",,Galway,"ﾀ15,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Corbally, Kilkee",,Clare,"ﾀ80,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Curraghmore, Saltmills, New Ross",,Wexford,"ﾀ150,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Dooneenmacotter, Ballyandreen",,Cork,"ﾀ125,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Green Road, Portlaoise",,Laois,"ﾀ12,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Limekiln Cottage, Battlebridge",,Roscommon,"ﾀ50,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Phoepotstown, Kilcock",,Meath,"ﾀ215,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"The Gables, Ardmullen, Athlone",,Roscommon,"ﾀ150,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Tomies, Beaufort",,Kerry,"ﾀ120,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2013,"Winton Grove, Ballybawn Road Lower, Enniskerry",,Wicklow,"ﾀ1,800,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2013,"14 Glenbrook Hall, Newtownmountkennedy, Co Wicklow",,Wicklow,"ﾀ182,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/2013,"6 Hannaville Park, Terenure, Dublin 6W",,Dublin,"ﾀ715,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2013,"Zaragoza, Warrenstown, Drumree",,Meath,"ﾀ303,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/01/2013,"7 Ardagh, Loreto Road, Killarney",,Kerry,"ﾀ1,140,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"'La Verda', Gurranredmond, Donoughmore",,Cork,"ﾀ215,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"10 Clanmaurice, lixnaw",,Kerry,"ﾀ63,876.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/01/2013,"12 Watermeadow Drive, Old Bawn, Tallaght",,Dublin,"ﾀ185,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"13 Bleach Road, Dun Brinn, Athy",,Kildare,"ﾀ91,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"13 the greens, ballyeagh, ballybunion",,Kerry,"ﾀ72,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"13 WILLOWPARK, RAHEEN",,Limerick,"ﾀ120,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"15 Steeple Meadow, Milltown",,Kerry,"ﾀ140,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"20 An Mullach, Cul Ard, Carrigtwohill",,Cork,"ﾀ60,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
07/01/2013,"200 Ballyspillane, Killarney",,Kerry,"ﾀ125,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"238 Pearse Road, sallynoggin, Dun Laoghaire",,Dublin,"ﾀ175,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"24 St. Flannan's Terrace, Clonroadmore, Ennis",,Clare,"ﾀ82,500.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"247, NORTH CIRCULAR ROAD, DUBLIN 8",Dublin 8,Dublin,"ﾀ339,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"26 Forest Court, Rivervalley, Swords",,Dublin,"ﾀ75,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"27 Kingswood View, Tallaght, Dublin 24",,Dublin,"ﾀ224,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"28 Pearse Road, Enniscorthy",,Wexford,"ﾀ50,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"3 CURRAGH CLOSE, BALLYBUNION ROAD, LISTOWEL",,Kerry,"ﾀ130,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/01/2013,"30 north wing, old connaught house, rathmichael",,Dublin,"ﾀ160,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"33 Ballisk Court, Donabate",,Dublin,"ﾀ123,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"33a Ashcroft, Raheny, Dublin 5",Dublin 5,Dublin,"ﾀ245,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/01/2013,"34  Ravensdale Drive, Kimmage, Dublin 12",,Dublin,"ﾀ350,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"4 Avondale Drive, Athy",,Kildare,"ﾀ77,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"40 Warren Green, Warrenhouse Road, Baldoyle",Dublin 13,Dublin,"ﾀ280,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2013,"404 Market Mews, Maryborough Village, Mountrath Road  Portlaoise",,Laois,"ﾀ65,000.00",No,No,Second-Hand Dwelling house /Apartment,
